Google	1287450
Internet Archive	24205
Texas A&M University	4300
University of Michigan	3861
University of California, Berkeley	2386
Cornell University	2308
Northwestern University	559
University of Missouri, Columbia	342
	330
University of Illinois at Urbana-Champaign	224
State University System of Florida	186
Yale University	185
Columbia University	96
University of Washington	47
Emory University	36
Boston College	19
The Getty Research Institute	16
University of Maryland	1
University of Delaware	1
McGill University	1
